Idx,From,To,r_pu,x_pu,B_sh_pu
1,1,2,0.0016616720,0.0023928070,0.0029349259
2,2,3,0.0010325620,0.0014868900,0.0018237612
3,3,4,0.0019014240,0.0016732540,0.0031344949
4,4,5,0.0004959630,0.0004364480,0.0008175943
5,5,7,0.0036923100,0.0023178950,0.0000571247
6,7,9,0.0020766830,0.0013036640,0.0000321289
7,9,12,0.0063554230,0.0039896980,0.0000983264
8,12,26,0.0051450260,0.0032298560,0.0000796000
9,26,33,0.0048640720,0.0030534840,0.0000752533
10,33,37,0.0035018720,0.0021983450,0.0000541784
11,37,40,0.0073404410,0.0046080560,0.0001135659
12,40,42,0.0087878480,0.0055166840,0.0001359591
13,42,44,0.0037282830,0.0023404780,0.0000576812
14,44,45,0.0006449000,0.0004048450,0.0000099774
15,45,46,0.0051358520,0.0032240970,0.0000794581
16,46,47,0.0089470760,0.0056166420,0.0001384226
17,47,48,0.0009159660,0.0005750100,0.0000141712
18,48,67,0.0033311250,0.0020911570,0.0000515367
19,67,68,0.0044080580,0.0027672150,0.0000681982
20,68,69,0.0057585560,0.0036150080,0.0000890921
21,69,70,0.0029726760,0.0018661360,0.0000459910
22,70,71,0.0019544280,0.0012269170,0.0000302375
23,71,72,0.0032153620,0.0020184850,0.0000497457
24,72,73,0.0000428000,0.0000268000,0.0000196863
25,73,74,0.0000636000,0.0000398000,0.0000292535
26,74,75,0.0035536410,0.0013326150,0.0016345348
27,75,76,0.0000011600,0.0000011600,0.0000000000
28,76,77,0.0000003870,0.0000003870,0.0000000000
29,77,78,0.0000004920,0.0000004920,0.0000000000
30,78,79,0.0059667360,0.0022375260,0.0027444634
31,79,80,0.0000288000,0.0000180000,0.0000132469
32,80,81,0.0000378000,0.0000236000,0.0000173865
33,81,82,0.0007474740,0.0004671720,0.0003438086
34,82,83,0.0045899310,0.0028813880,0.0000710120
35,83,85,0.0036023330,0.0022614110,0.0000557326
36,85,86,0.0035290990,0.0022154370,0.0000545996
37,86,92,0.0000004360,0.0000004360,0.0000000000
38,92,93,0.0000004200,0.0000004200,0.0000000000
39,93,94,0.0021231500,0.0019582450,0.0017445438
40,94,95,0.0003279310,0.0001229740,0.0001508353
41,95,96,0.0035940390,0.0007849700,0.0006602150
42,4,6,0.0009049290,0.0005271430,0.0007435595
43,5,8,0.0000125000,0.0000077500,0.0000095329
