Bus,Type,P_load_MW,Q_load_MVAr,V_init_pu
1,SLACK,0.000000000,0.000000000,1.000000000
2,PQ,0.102573285,0.033712762,1.000000000
3,PQ,0.000000000,0.000000000,1.000000000
4,PQ,0.000000000,0.000000000,1.000000000
5,PQ,0.000000000,0.000000000,1.000000000
6,PQ,0.312282822,0.102637995,1.000000000
7,PQ,0.000000000,0.000000000,1.000000000
8,PQ,0.070066843,0.023028869,1.000000000
9,PQ,0.000000000,0.000000000,1.000000000
10,PQ,0.077479408,0.025465157,1.000000000
11,PQ,0.054436733,0.017891721,1.000000000
12,PQ,0.000000000,0.000000000,1.000000000
13,PQ,0.069716613,0.022913759,1.000000000
14,PQ,0.044766026,0.014713250,1.000000000
15,PQ,0.034603003,0.011372969,1.000000000
16,PQ,0.000000000,0.000000000,1.000000000
17,PQ,0.083955294,0.027593586,1.000000000
18,PQ,0.059472768,0.019546915,1.000000000
19,PQ,0.000000000,0.000000000,1.000000000
20,PQ,0.098526154,0.032382591,1.000000000
21,PQ,0.016413906,0.005394758,1.000000000
22,PQ,0.000000000,0.000000000,1.000000000
23,PQ,0.000000000,0.000000000,1.000000000
24,PQ,0.000000000,0.000000000,1.000000000
25,PQ,0.014601533,0.004799086,1.000000000
26,PQ,0.000000000,0.000000000,1.000000000
27,PQ,0.000000000,0.000000000,1.000000000
28,PQ,0.067753353,0.022268495,1.000000000
29,PQ,0.000000000,0.000000000,1.000000000
30,PQ,0.000000000,0.000000000,1.000000000
31,PQ,0.116475606,0.038282037,1.000000000
32,PQ,0.232441763,0.076396634,1.000000000
33,PQ,0.000000000,0.000000000,1.000000000
34,PQ,0.104628467,0.034388238,1.000000000
35,PQ,0.000000000,0.000000000,1.000000000
36,PQ,0.000000000,0.000000000,1.000000000
37,PQ,0.000000000,0.000000000,1.000000000
38,PQ,0.000000000,0.000000000,1.000000000
39,PQ,0.058684029,0.019287680,1.000000000
40,PQ,0.057927814,0.019039135,1.000000000
41,PQ,0.027772815,0.009128091,1.000000000
42,PQ,0.000000000,0.000000000,1.000000000
43,PQ,0.000000000,0.000000000,1.000000000
44,PQ,0.031022705,0.010196233,1.000000000
45,PQ,0.000000000,0.000000000,1.000000000
46,PQ,0.291088254,0.095671976,1.000000000
47,PQ,0.135757959,0.044619568,1.000000000
48,PQ,0.000000000,0.000000000,1.000000000
49,PQ,0.359524213,0.118164823,1.000000000
50,PQ,0.000000000,0.000000000,1.000000000
51,PQ,0.074594722,0.024517047,1.000000000
52,PQ,0.000000000,0.000000000,1.000000000
53,PQ,0.000000000,0.000000000,1.000000000
54,PQ,0.000000000,0.000000000,1.000000000
55,PQ,0.315686649,0.103756731,1.000000000
56,PQ,0.000000000,0.000000000,1.000000000
57,PQ,0.000000000,0.000000000,1.000000000
58,PQ,0.000000000,0.000000000,1.000000000
59,PQ,0.000000000,0.000000000,1.000000000
60,PQ,0.000000000,0.000000000,1.000000000
61,PQ,0.000000000,0.000000000,1.000000000
62,PQ,0.000000000,0.000000000,1.000000000
63,PQ,0.000000000,0.000000000,1.000000000
64,PQ,0.147713084,0.048548859,1.000000000
65,PQ,0.000000000,0.000000000,1.000000000
66,PQ,0.032251718,0.010600172,1.000000000
67,PQ,0.025001712,0.008217313,1.000000000
68,PQ,0.008732540,0.002870124,1.000000000
69,PQ,0.019565074,0.006430453,1.000000000
70,PQ,0.085248477,0.028018617,1.000000000
71,PQ,0.000000000,0.000000000,1.000000000
72,PQ,0.000000000,0.000000000,1.000000000
73,PQ,0.455683423,0.149769471,1.000000000
74,PQ,0.000000000,0.000000000,1.000000000
75,PQ,0.000000000,0.000000000,1.000000000
76,PQ,0.000000000,0.000000000,1.000000000
77,PQ,0.000000000,0.000000000,1.000000000
78,PQ,0.000000000,0.000000000,1.000000000
79,PQ,0.000000000,0.000000000,1.000000000
80,PQ,0.021937664,0.007210252,1.000000000
81,PQ,0.000000000,0.000000000,1.000000000
82,PQ,0.000000000,0.000000000,1.000000000
83,PQ,0.000000000,0.000000000,1.000000000
84,PQ,0.026927092,0.008850127,1.000000000
85,PQ,0.000000000,0.000000000,1.000000000
86,PQ,0.000000000,0.000000000,1.000000000
87,PQ,0.000000000,0.000000000,1.000000000
88,PQ,0.000000000,0.000000000,1.000000000
89,PQ,0.000000000,0.000000000,1.000000000
90,PQ,0.043781881,0.014389791,1.000000000
91,PQ,0.153539557,0.050463846,1.000000000
92,PQ,0.073773438,0.024247116,1.000000000
93,PQ,0.000000000,0.000000000,1.000000000
94,PQ,0.000000000,0.000000000,1.000000000
95,PQ,0.000000000,0.000000000,1.000000000
96,PQ,0.183788623,0.060405807,1.000000000
97,PQ,0.000000000,0.000000000,1.000000000
98,PQ,0.000000000,0.000000000,1.000000000
99,PQ,0.082191692,0.027013943,1.000000000
100,PQ,0.000000000,0.000000000,1.000000000
101,PQ,0.186032156,0.061143189,1.000000000
102,PQ,0.000000000,0.000000000,1.000000000
103,PQ,0.295511810,0.097125867,1.000000000
104,PQ,0.000000000,0.000000000,1.000000000
105,PQ,0.296369037,0.097407611,1.000000000
106,PQ,0.202089304,0.066420691,1.000000000
107,PQ,0.000000000,0.000000000,1.000000000
108,PQ,0.111655223,0.036697722,1.000000000
109,PQ,0.046128009,0.015160893,1.000000000
110,PQ,0.000000000,0.000000000,1.000000000
111,PQ,0.276548514,0.090893200,1.000000000
112,PQ,0.000000000,0.000000000,1.000000000
113,PQ,0.000784420,0.000257815,1.000000000
114,PQ,0.077797225,0.025569614,1.000000000
115,PQ,0.000000000,0.000000000,1.000000000
116,PQ,0.000000000,0.000000000,1.000000000
117,PQ,0.121147488,0.039817545,1.000000000
118,PQ,0.035388698,0.011631203,1.000000000
119,PQ,0.000000000,0.000000000,1.000000000
120,PQ,0.263253107,0.086523399,1.000000000
121,PQ,0.068540778,0.022527298,1.000000000
122,PQ,0.000000000,0.000000000,1.000000000
123,PQ,0.000000000,0.000000000,1.000000000
124,PQ,0.153542804,0.050464913,1.000000000
