From,To,DeviceType,NormallyClosed,AtFromSide,AtToSide
1,2,CB,1,1,0
1,2,DISC,1,1,0
1,2,DISC,1,0,1
2,3,DISC,1,1,0
9,13,DISC,1,0,1
13,14,DISC,1,1,0
16,18,DISC,1,0,1
18,19,DISC,1,1,0
19,21,DISC,1,0,1
21,22,DISC,1,1,0
27,28,DISC,1,0,1
28,29,DISC,1,1,0
30,31,DISC,1,0,1
31,32,DISC,1,1,0
33,34,DISC,1,0,1
34,35,DISC,1,1,0
35,36,DISC,0,0,1
37,40,DISC,1,0,1
40,41,DISC,1,1,0
40,42,DISC,1,1,0
42,109,DISC,1,0,1
109,110,DISC,1,1,0
42,44,DISC,1,0,1
44,45,DISC,1,1,0
45,46,DISC,1,0,1
46,47,DISC,1,1,0
46,47,DISC,1,0,1
47,48,DISC,1,1,0
47,49,DISC,1,1,0
47,49,DISC,1,0,1
49,50,DISC,1,1,0
49,52,DISC,1,1,0
54,55,DISC,1,0,1
55,56,DISC,1,1,0
61,62,DISC,0,0,1
48,67,DISC,1,0,1
67,68,DISC,1,1,0
67,68,DISC,1,0,1
68,69,DISC,1,1,0
68,69,DISC,1,0,1
69,70,DISC,1,1,0
69,70,DISC,1,0,1
70,71,DISC,1,1,0
72,73,DISC,1,0,1
73,74,DISC,1,1,0
102,103,DISC,1,0,1
103,104,DISC,1,1,0
79,80,DISC,1,0,1
80,81,DISC,1,1,0
87,88,DISC,0,0,1
100,101,DISC,1,1,0
86,92,DISC,1,0,1
92,93,DISC,1,1,0
