Bus,Type,P_load_MW,Q_load_MVAr,V_init_pu
1,SLACK,0.000,0.000,1.0
2,PQ,0.100,0.060,1.0
3,PQ,0.090,0.040,1.0
4,PQ,0.120,0.080,1.0
5,PQ,0.060,0.030,1.0
6,PQ,0.060,0.020,1.0
7,PQ,0.200,0.100,1.0
8,PQ,0.200,0.100,1.0
9,PQ,0.060,0.020,1.0
10,PQ,0.060,0.020,1.0
11,PQ,0.045,0.030,1.0
12,PQ,0.060,0.035,1.0
13,PQ,0.060,0.035,1.0
14,PQ,0.120,0.080,1.0
15,PQ,0.060,0.010,1.0
16,PQ,0.060,0.020,1.0
17,PQ,0.060,0.020,1.0
18,PQ,0.090,0.040,1.0
19,PQ,0.090,0.040,1.0
20,PQ,0.090,0.040,1.0
21,PQ,0.090,0.040,1.0
22,PQ,0.090,0.040,1.0
23,PQ,0.090,0.050,1.0
24,PQ,0.420,0.200,1.0
25,PQ,0.420,0.200,1.0
26,PQ,0.060,0.025,1.0
27,PQ,0.060,0.025,1.0
28,PQ,0.060,0.020,1.0
29,PQ,0.120,0.070,1.0
30,PQ,0.200,0.600,1.0
31,PQ,0.150,0.070,1.0
32,PQ,0.210,0.100,1.0
33,PQ,0.060,0.040,1.0
