Idx,From,To,R_ohm,X_ohm,Pmax_kW
1,0,1,0.034666678,0.081666693,5000
2,1,2,0.044054938,0.044661473,500
3,1,3,0.062935626,0.063802104,500
4,1,7,0.026000008,0.06125002,5000
5,3,4,0.050348501,0.051041683,500
6,3,5,0.081816314,0.082942735,500
7,5,6,0.062935626,0.063802104,500
8,7,8,0.017333339,0.040833346,5000
9,8,9,0.056642064,0.057421893,500
10,8,12,0.056642064,0.057421893,500
11,8,13,0.026000008,0.06125002,5000
12,9,14,0.106990565,0.108463576,500
13,13,34,0.037761376,0.038281262,1500
14,14,10,0.062935626,0.063802104,500
15,14,11,0.062935626,0.063802104,500
16,15,16,0.094403439,0.095703156,1500
17,15,17,0.088109877,0.089322945,500
18,18,19,0.062935626,0.063802104,500
19,18,21,0.026511372,0.059556837,1000
20,19,20,0.081816314,0.082942735,500
21,21,22,0.132164815,0.133984418,500
22,21,23,0.02209281,0.049630698,1000
23,23,24,0.138458378,0.140364628,500
24,23,25,0.024302091,0.054593767,1000
25,25,26,0.030333343,0.071458356,1000
26,25,28,0.017674248,0.039704558,500
27,26,27,0.023833341,0.056145851,500
28,26,31,0.056642064,0.057421893,500
29,27,33,0.125871252,0.127604208,500
30,28,29,0.026511372,0.059556837,500
31,29,30,0.030929934,0.069482977,500
32,31,32,0.075522751,0.076562525,500
33,34,15,0.02517425,0.025520842,1500
34,35,36,0.056333351,0.132708376,500
35,35,40,0.021666674,0.051041683,2000
36,36,37,0.075522751,0.076562525,500
37,36,38,0.062935626,0.063802104,500
38,38,39,0.081816314,0.082942735,500
39,40,41,0.081816314,0.082942735,500
40,40,42,0.021666674,0.051041683,2000
41,42,43,0.125871252,0.127604208,500
42,42,44,0.017333339,0.040833346,1500
43,44,45,0.050348501,0.051041683,500
44,44,47,0.021666674,0.051041683,1500
45,45,46,0.075522751,0.076562525,500
46,47,48,0.0131108,0.030258532,500
47,47,49,0.021851333,0.050430887,1500
48,49,50,0.021851333,0.050430887,1000
49,50,51,0.021851333,0.050430887,1000
50,52,53,0.017333339,0.040833346,1500
51,53,54,0.010833337,0.025520842,1500
52,54,55,0.023833341,0.056145851,500
53,54,57,0.030591866,0.070603242,1500
54,55,56,0.023833341,0.056145851,500
55,57,58,0.062935626,0.063802104,500
56,57,60,0.065553998,0.151292662,1500
57,58,59,0.062935626,0.063802104,500
58,60,61,0.048604182,0.109187535,0
59,60,62,0.072012334,0.035610807,500
60,60,67,0.030333343,0.071458356,1000
61,62,63,0.050408634,0.024927565,500
62,63,64,0.100817267,0.04985513,500
63,64,65,0.122420967,0.060538372,500
64,65,66,0.093616034,0.046294049,500
65,67,68,0.050348501,0.051041683,500
66,67,72,0.024036466,0.055473976,500
67,67,97,0.021851333,0.050430887,500
68,68,69,0.069229189,0.070182314,500
69,69,70,0.081816314,0.082942735,500
70,70,71,0.069229189,0.070182314,500
71,72,73,0.069229189,0.070182314,500
72,73,74,0.088109877,0.089322945,500
73,74,75,0.100697002,0.102083366,500
74,76,77,0.034666678,0.081666693,500
75,76,86,0.061183732,0.141206485,500
76,77,78,0.008666669,0.020416673,500
77,78,79,0.019500006,0.045937515,500
78,78,80,0.04116668,0.096979198,500
79,80,81,0.04116668,0.096979198,500
80,81,82,0.021666674,0.051041683,500
81,81,84,0.169926191,0.17226568,500
82,82,83,0.021666674,0.051041683,500
83,84,85,0.11957769,0.121223997,500
84,86,87,0.039000012,0.091875029,1000
85,87,88,0.044054938,0.044661473,500
86,87,89,0.023833341,0.056145851,1000
87,89,90,0.056642064,0.057421893,500
88,89,91,0.019500006,0.045937515,1000
89,91,92,0.075522751,0.076562525,500
90,91,93,0.019500006,0.045937515,1000
91,93,94,0.069229189,0.070182314,1000
92,93,95,0.026000008,0.06125002,1500
93,95,96,0.050348501,0.051041683,500
94,97,98,0.024036466,0.055473976,500
95,98,99,0.048072932,0.110947952,500
96,99,100,0.026221599,0.060517065,500
97,101,102,0.056642064,0.057421893,500
98,101,105,0.024036466,0.055473976,500
99,102,103,0.081816314,0.082942735,500
100,103,104,0.176219753,0.178645891,500
101,105,106,0.056642064,0.057421893,500
102,105,108,0.028406733,0.065560154,500
103,106,107,0.14475194,0.146744839,500
104,108,109,0.113284127,0.114843787,1000
105,109,110,0.075522751,0.076562525,1000
106,110,111,0.14475194,0.146744839,500
107,110,112,0.031467813,0.031901052,1000
108,112,113,0.132164815,0.133984418,500
109,113,114,0.081816314,0.082942735,500
