Bus,Type,P_load_kW,Q_load_kVar,V_init_pu
0,SLACK,0,0,1.0
1,PQ,40,20,1.0
2,PQ,20,10,1.0
3,PQ,0,0,1.0
4,PQ,40,20,1.0
5,PQ,20,10,1.0
6,PQ,40,20,1.0
7,PQ,20,10,1.0
8,PQ,0,0,1.0
9,PQ,40,20,1.0
10,PQ,20,10,1.0
11,PQ,40,20,1.0
12,PQ,20,10,1.0
13,PQ,0,0,1.0
14,PQ,0,0,1.0
15,PQ,0,0,1.0
16,PQ,40,20,1.0
17,PQ,20,10,1.0
18,PQ,0,0,1.0
19,PQ,40,20,1.0
20,PQ,40,20,1.0
21,PQ,0,0,1.0
22,PQ,40,20,1.0
23,PQ,0,0,1.0
24,PQ,40,20,1.0
25,PQ,0,0,1.0
26,PQ,0,0,1.0
27,PQ,0,0,1.0
28,PQ,40,20,1.0
29,PQ,40,20,1.0
30,PQ,40,20,1.0
31,PQ,20,10,1.0
32,PQ,20,10,1.0
33,PQ,40,20,1.0
34,PQ,40,20,1.0
35,PQ,0,0,1.0
36,PQ,0,0,1.0
37,PQ,40,20,1.0
38,PQ,20,10,1.0
39,PQ,20,10,1.0
40,PQ,0,0,1.0
41,PQ,20,10,1.0
42,PQ,20,10,1.0
43,PQ,40,20,1.0
44,PQ,0,0,1.0
45,PQ,20,10,1.0
46,PQ,20,10,1.0
47,PQ,105,75,1.0
48,PQ,210,150,1.0
49,PQ,140,95,1.0
50,PQ,40,20,1.0
51,PQ,20,10,1.0
52,PQ,0,0,1.0
53,PQ,40,20,1.0
54,PQ,0,0,1.0
55,PQ,20,10,1.0
56,PQ,20,10,1.0
57,PQ,0,0,1.0
58,PQ,20,10,1.0
59,PQ,20,10,1.0
60,PQ,20,10,1.0
61,PQ,0,0,1.0
62,PQ,40,20,1.0
63,PQ,40,20,1.0
64,PQ,75,35,1.0
65,PQ,140,100,1.0
66,PQ,75,35,1.0
67,PQ,0,0,1.0
68,PQ,20,10,1.0
69,PQ,40,20,1.0
70,PQ,20,10,1.0
71,PQ,40,20,1.0
72,PQ,0,0,1.0
73,PQ,40,20,1.0
74,PQ,40,20,1.0
75,PQ,40,20,1.0
76,PQ,245,180,1.0
77,PQ,40,20,1.0
78,PQ,0,0,1.0
79,PQ,40,20,1.0
80,PQ,40,20,1.0
81,PQ,0,0,1.0
82,PQ,40,20,1.0
83,PQ,20,10,1.0
84,PQ,20,10,1.0
85,PQ,40,20,1.0
86,PQ,20,10,1.0
87,PQ,40,20,1.0
88,PQ,40,20,1.0
89,PQ,0,0,1.0
90,PQ,40,20,1.0
91,PQ,0,0,1.0
92,PQ,40,20,1.0
93,PQ,0,0,1.0
94,PQ,40,20,1.0
95,PQ,20,10,1.0
96,PQ,20,10,1.0
97,PQ,0,0,1.0
98,PQ,40,20,1.0
99,PQ,40,20,1.0
100,PQ,40,20,1.0
101,PQ,0,0,1.0
102,PQ,20,10,1.0
103,PQ,40,20,1.0
104,PQ,40,20,1.0
105,PQ,0,0,1.0
106,PQ,40,20,1.0
107,PQ,40,20,1.0
108,PQ,0,0,1.0
109,PQ,40,20,1.0
110,PQ,0,0,1.0
111,PQ,20,10,1.0
112,PQ,20,10,1.0
113,PQ,40,20,1.0
114,PQ,20,10,1.0
