Bus,Type,P_load_MW,Q_load_MVAr,V_init_pu
1,SLACK,0,0,1.0
2,PQ,0,0,1.0
3,PQ,0,0,1.0
4,PQ,0,0,1.0
5,PQ,0,0,1.0
6,PQ,0.0026,0.0022,1.0
7,PQ,0.0404,0.0300,1.0
8,PQ,0.0750,0.0540,1.0
9,PQ,0.0300,0.0220,1.0
10,PQ,0.0280,0.0190,1.0
11,PQ,0.1450,0.1040,1.0
12,PQ,0.1450,0.1040,1.0
13,PQ,0.0080,0.0055,1.0
14,PQ,0.0080,0.0055,1.0
15,PQ,0,0,1.0
16,PQ,0.0455,0.0300,1.0
17,PQ,0.0600,0.0350,1.0
18,PQ,0.0600,0.0350,1.0
19,PQ,0,0,1.0
20,PQ,0.0010,0.0006,1.0
21,PQ,0.1140,0.0810,1.0
22,PQ,0.0053,0.0035,1.0
23,PQ,0,0,1.0
24,PQ,0.0280,0.0200,1.0
25,PQ,0,0,1.0
26,PQ,0.0140,0.0100,1.0
27,PQ,0.0140,0.0100,1.0
28,PQ,0.0260,0.0186,1.0
29,PQ,0.0260,0.0186,1.0
30,PQ,0,0,1.0
31,PQ,0,0,1.0
32,PQ,0,0,1.0
33,PQ,0.0140,0.0100,1.0
34,PQ,0.0195,0.0140,1.0
35,PQ,0.0060,0.0040,1.0
36,PQ,0.0260,0.01855,1.0
37,PQ,0.0260,0.01855,1.0
38,PQ,0,0,1.0
39,PQ,0.0240,0.0170,1.0
40,PQ,0.0240,0.0170,1.0
41,PQ,0.0012,0.0010,1.0
42,PQ,0,0,1.0
43,PQ,0.0060,0.0043,1.0
44,PQ,0,0,1.0
45,PQ,0.03922,0.0263,1.0
46,PQ,0.03922,0.0263,1.0
47,PQ,0,0,1.0
48,PQ,0.0790,0.0564,1.0
49,PQ,0.3847,0.2745,1.0
50,PQ,0.3840,0.2745,1.0
51,PQ,0.0405,0.0283,1.0
52,PQ,0.0036,0.0027,1.0
53,PQ,0.00435,0.0035,1.0
54,PQ,0.0264,0.0190,1.0
55,PQ,0.0240,0.0172,1.0
56,PQ,0,0,1.0
57,PQ,0,0,1.0
58,PQ,0,0,1.0
59,PQ,0.1000,0.0720,1.0
60,PQ,0,0,1.0
61,PQ,1.2440,0.8880,1.0
62,PQ,0.0320,0.0230,1.0
63,PQ,0,0,1.0
64,PQ,0.2270,0.1620,1.0
65,PQ,0.0590,0.0420,1.0
66,PQ,0.0180,0.0130,1.0
67,PQ,0.0180,0.0130,1.0
68,PQ,0.0280,0.0200,1.0
69,PQ,0.0280,0.0200,1.0
