Idx,From,To,R_ohm,X_ohm
1,1,2,0.09222661910510252,0.04701256265646727
2,2,3,0.49317325864202807,0.25130740943240264
3,3,4,0.36633179922231636,0.18646351197143287
4,4,5,0.38138134363440094,0.19440140930289833
5,5,6,0.81982504720699740,0.70713476968124560
6,6,7,0.18724089760062854,0.61880118273863520
7,7,8,1.71237360257081670,1.23503587098313890
8,8,9,1.03106158478832130,0.74011623460612490
9,9,10,1.04438161000369330,0.74011623460612490
10,10,11,0.19673254005800703,0.06506377890015457
11,11,12,0.37479282252840200,0.12390539109114698
12,12,13,1.46832810813581420,1.15541104595322560
13,13,14,0.54189925157930000,0.71322672119707410
14,14,15,0.59122162381708760,0.52674854288029330
15,15,16,0.74648446748853870,0.54513749540682900
16,16,17,1.28972212278271440,1.72135278648245290
17,17,18,0.73208785522881990,0.57409753908341600
18,2,19,0.16405495200497377,0.15658299283067447
19,19,20,1.50508851420268280,1.35636946345718420
20,20,21,0.40964763493738140,0.47855662551063390
21,21,22,0.70897845930472190,0.93740418085151460
22,3,23,0.45144331039743130,0.30842419068181860
23,23,24,0.89832748334910600,0.70924486338327600
24,24,25,0.89610271379642350,0.70122214140304910
25,6,26,0.20306934383934230,0.10345134948019700
26,26,27,0.28426394769843850,0.14475373837069010
27,27,28,1.06010374348264100,0.93428860034314280
28,28,29,0.80442598908981820,0.70078886848399700
29,29,30,0.50765975088667490,0.25860472994358980
30,30,31,0.97463740938921390,0.96317821447984650
31,31,32,0.31057558584095450,0.36194023943865020
32,32,33,0.34103203080117177,0.53023499114569080
